"FIPS","Yearn","rate"
51001,2014,223.3
51003,2014,143.4
51005,2014,176.6
51007,2014,229.0
51009,2014,174.8
51011,2014,147.3
51013,2014,133.3
51015,2014,171.7
51017,2014,162.2
51021,2014,236.1
51023,2014,150.9
51025,2014,155.5
51027,2014,163.1
51029,2014,190.2
51031,2014,147.9
51033,2014,197.9
51035,2014,171.6
51036,2014,197.2
51037,2014,184.3
51041,2014,164.4
51043,2014,206.4
51045,2014,177.6
51047,2014,191.6
51049,2014,174.0
51051,2014,232.6
51053,2014,182.4
51057,2014,204.9
51059,2014,123.7
51061,2014,148.1
51063,2014,141.9
51065,2014,179.2
51067,2014,151.7
51069,2014,186.3
51071,2014,187.4
51073,2014,187.5
51075,2014,169.8
51077,2014,203.6
51079,2014,160.0
51081,2014,168.3
51083,2014,175.6
51085,2014,163.0
51087,2014,169.9
51089,2014,189.5
51091,2014,118.7
51093,2014,195.0
51095,2014,142.2
51097,2014,155.5
51099,2014,205.1
51101,2014,175.5
51103,2014,197.4
51105,2014,213.1
51107,2014,131.0
51109,2014,185.4
51111,2014,215.7
51113,2014,188.4
51115,2014,134.0
51117,2014,231.8
51119,2014,215.7
51121,2014,150.6
51125,2014,203.4
51127,2014,202.6
51131,2014,218.0
51133,2014,186.0
51135,2014,203.8
51137,2014,166.8
51139,2014,200.2
51141,2014,183.1
51143,2014,176.4
51145,2014,171.5
51147,2014,198.6
51149,2014,181.7
51153,2014,144.1
51155,2014,190.3
51157,2014,144.6
51159,2014,169.5
51161,2014,158.3
51163,2014,165.3
51165,2014,161.6
51167,2014,210.7
51169,2014,194.7
51171,2014,168.2
51173,2014,188.9
51175,2014,182.4
51177,2014,161.5
51179,2014,170.7
51181,2014,174.2
51183,2014,223.0
51185,2014,213.8
51187,2014,196.7
51191,2014,171.7
51193,2014,187.1
51195,2014,235.4
51197,2014,170.9
51199,2014,147.2
51510,2014,130.8
51520,2014,239.3
51530,2014,208.1
51540,2014,162.5
51550,2014,182.8
51570,2014,147.8
51580,2014,173.8
51590,2014,206.9
51595,2014,222.6
51600,2014,140.6
